x,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
0.487907466,21.29250293,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
1.001051525,15.56872826,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
2.018927445,9.359891843,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
2.977917981,6.331760252,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
3.96214511,4.812632717,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
4.996845426,3.870370437,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
6.014721346,3.202105453,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
6.998948475,2.752692204,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
7.957939012,2.385132041,cop,1,1,,,1.csv,I,COP,0,,,,1.4,,
0.311251314,13.85633168,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
0.353312303,12.12905273,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
0.43743428,9.936209103,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
0.605678233,7.031664714,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
0.815983176,4.923269941,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
1.160883281,3.420611086,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
1.606729758,2.221397026,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
2.237644585,1.49164128,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
2.9106204,0.982035151,cop,2,2,,,2.csv,I,COP,1,,,,1.4,,
1.059936909,4.62573772,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
1.371188223,3.671073457,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
1.8170347,2.663859396,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
2.431125131,2.043529518,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
3.213459516,1.343798107,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
3.802313354,1.052178459,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
4.736067298,0.711614241,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
5.400630915,0.53100676,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
5.955835962,0.513095989,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
6.754994742,0.417081568,cop,3,3,,,3.csv,I,COP,2,,,,1.4,,
0.201892744,6.750456963,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
0.269190326,5.48989635,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
0.378548896,4.010628211,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
0.513144059,2.888364128,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
0.765509989,1.795547544,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
1.101997897,1.115601622,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
1.396424816,0.818934655,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
1.943217666,0.49916539,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
2.380651945,0.396949977,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
2.809674027,0.239733213,cop,4,4,,,4.csv,I,COP,3,,,,1.4,,
