x,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
0.0,3.486428197,carrier_concentration,$n_{\mathrm{H}}$,$n_{\mathrm{H}}$,,,nu_muh.csv,x,concentration,0,#d62728,o,,1.4,,
1.0,3.093365346,carrier_concentration,$n_{\mathrm{H}}$,$n_{\mathrm{H}}$,,,nu_muh.csv,x,concentration,0,#d62728,o,,1.4,,
3.0,2.973003957,carrier_concentration,$n_{\mathrm{H}}$,$n_{\mathrm{H}}$,,,nu_muh.csv,x,concentration,0,#d62728,o,,1.4,,
5.0,4.319187107,carrier_concentration,$n_{\mathrm{H}}$,$n_{\mathrm{H}}$,,,nu_muh.csv,x,concentration,0,#d62728,o,,1.4,,
7.0,4.813427285,carrier_concentration,$n_{\mathrm{H}}$,$n_{\mathrm{H}}$,,,nu_muh.csv,x,concentration,0,#d62728,o,,1.4,,
0.0,25.45175545,mobility,$\mu_{\mathrm{H}}$,$\mu_{\mathrm{H}}$,,,nu_muh.csv,x,mobility,1,#1f77b4,s,,1.4,,
1.0,16.75123012,mobility,$\mu_{\mathrm{H}}$,$\mu_{\mathrm{H}}$,,,nu_muh.csv,x,mobility,1,#1f77b4,s,,1.4,,
3.0,15.48847164,mobility,$\mu_{\mathrm{H}}$,$\mu_{\mathrm{H}}$,,,nu_muh.csv,x,mobility,1,#1f77b4,s,,1.4,,
5.0,14.29101915,mobility,$\mu_{\mathrm{H}}$,$\mu_{\mathrm{H}}$,,,nu_muh.csv,x,mobility,1,#1f77b4,s,,1.4,,
7.0,10.51017596,mobility,$\mu_{\mathrm{H}}$,$\mu_{\mathrm{H}}$,,,nu_muh.csv,x,mobility,1,#1f77b4,s,,1.4,,
