I,y
0.077024683,0.686903699
0.158908285,1.482612501
0.279081398,2.295877781
0.379967393,2.892087453
0.466635636,3.68772693
0.586722093,4.374214681
0.682798687,4.934271527
0.807657407,5.602578878
0.894102821,6.072218997
1.014102623,6.631929219
1.095775774,7.119749738
1.18218405,7.53505663
1.297362072,8.040502951
1.393240595,8.310782589
1.489205774,8.707839756
1.6091313,9.158883526
1.671529711,9.447759513
1.791368581,9.772025754
1.997454793,10.27615491
2.193872688,10.6355341
2.289689314,10.81525836
2.418986052,10.97638628
2.533916486,11.11961109
2.600988124,11.24541807
2.711096779,11.33437898
2.826002454,11.44138164
2.945655632,11.49398175
3.074840956,11.49210998
3.165761526,11.50890389
3.29010031,11.41654607
3.376186721,11.360965
3.443109807,11.26943908
3.543537763,11.19553896
3.663091906,11.10325046
3.758735221,11.02941967
3.816101402,10.95614347
3.9165046,10.8460212
3.997756851,10.71806515
4.07423684,10.6082895
4.155439574,10.40788915
4.222300763,10.22580785
4.284414448,10.0981291
4.36564194,9.933950901
4.432552647,9.824313902
4.513792519,9.678246779
4.676210366,9.295557154
