I,y
0.062695517,0.723333824
0.187640893,1.518418704
0.283779384,2.169030927
0.39909358,2.873699079
0.480890525,3.542630352
0.596130444,4.138632051
0.687372879,4.62631392
0.797766259,5.131829565
0.898677013,5.764261389
0.985122426,6.233901507
1.100288069,6.721236752
1.196191351,7.027738542
1.301738193,7.442768135
1.402450875,7.785422751
1.512807118,8.23660517
1.613420765,8.434371182
1.699692867,8.650456243
1.79557139,8.920735882
1.881855871,9.154932018
2.006343209,9.279907105
2.083021269,9.459908665
2.202761103,9.639286302
2.303349992,9.800830163
2.408674004,9.889860397
2.504441113,9.997140357
2.60023298,10.14064247
2.705569372,10.24778378
2.820376012,10.20989783
2.892158016,10.22696904
2.983078586,10.24376294
3.102694626,10.24202983
3.20315972,10.22246293
3.289258511,10.18499294
3.394421591,10.03857919
3.499646568,9.982720821
3.595240365,9.836445723
3.6908713,9.744503852
3.786415579,9.525784452
3.89156628,9.36125963
4.011070906,9.196526833
4.097095419,9.050390385
4.202184223,8.795310185
4.292894343,8.504215808
4.393235643,8.303538159
4.512653613,8.012027834
4.608135995,7.702753057
