x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
300.0,300,137.99,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
375.0,375,145.57,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
450.0,450,146.11,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
525.0,525,146.16,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
600.0,600,155.07,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
675.0,675,157.6,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
750.0,750,157.71,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
300.0,300,167.53,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
375.0,375,169.24,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
450.0,450,174.71,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
525.0,525,178.8,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
600.0,600,182.49,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
675.0,675,183.59,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
750.0,750,188.88,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
300.0,300,190.16,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
375.0,375,192.7,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
450.0,450,193.22,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
525.0,525,196.91,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
600.0,600,203.2,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
675.0,675,207.51,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
750.0,750,210.25,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
300.0,300,213.62,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
375.0,375,217.52,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
450.0,450,219.86,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
525.0,525,225.96,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
600.0,600,222.93,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
675.0,675,229.63,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
750.0,750,232.88,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
