x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
300.0,300,648.37,conductivity,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
375.0,375,586.34,conductivity,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
450.0,450,562.99,conductivity,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
525.0,525,518.01,conductivity,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
600.0,600,488.88,conductivity,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
675.0,675,445.44,conductivity,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
750.0,750,412.61,conductivity,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
300.0,300,507.23,conductivity,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
375.0,375,473.43,conductivity,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
450.0,450,446.67,conductivity,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
525.0,525,415.34,conductivity,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
600.0,600,395.95,conductivity,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
675.0,675,368.57,conductivity,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
750.0,750,334.76,conductivity,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
300.0,300,419.32,conductivity,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
375.0,375,381.82,conductivity,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
450.0,450,348.49,conductivity,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
525.0,525,316.03,conductivity,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
600.0,600,313.7,conductivity,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
675.0,675,278.36,conductivity,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
750.0,750,273.19,conductivity,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
300.0,300,295.98,conductivity,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
375.0,375,276.58,conductivity,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
450.0,450,271.02,conductivity,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
525.0,525,250.96,conductivity,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
600.0,600,227.94,conductivity,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
675.0,675,215.92,conductivity,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
750.0,750,200.08,conductivity,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,sigma [S cm-1],1,,,,,,
300.0,300,12.345,power_factor,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
375.0,375,12.425,power_factor,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
450.0,450,12.019,power_factor,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
525.0,525,11.066,power_factor,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
600.0,600,11.757,power_factor,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
675.0,675,11.063,power_factor,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
750.0,750,10.263,power_factor,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
300.0,300,14.237,power_factor,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
375.0,375,13.56,power_factor,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
450.0,450,13.634,power_factor,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
525.0,525,13.278,power_factor,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
600.0,600,13.186,power_factor,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
675.0,675,12.422,power_factor,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
750.0,750,11.943,power_factor,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
300.0,300,15.163,power_factor,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
375.0,375,14.179,power_factor,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
450.0,450,13.01,power_factor,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
525.0,525,12.253,power_factor,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
600.0,600,12.953,power_factor,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
675.0,675,11.986,power_factor,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
750.0,750,12.077,power_factor,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
300.0,300,13.507,power_factor,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
375.0,375,13.087,power_factor,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
450.0,450,13.101,power_factor,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
525.0,525,12.814,power_factor,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
600.0,600,11.328,power_factor,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
675.0,675,11.385,power_factor,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
750.0,750,10.851,power_factor,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,Power factor,2,,,,,,
300.0,300,137.99,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
375.0,375,145.57,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
450.0,450,146.11,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
525.0,525,146.16,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
600.0,600,155.07,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
675.0,675,157.6,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
750.0,750,157.71,seebeck,CHY-DEMO-A,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
300.0,300,167.53,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
375.0,375,169.24,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
450.0,450,174.71,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
525.0,525,178.8,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
600.0,600,182.49,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
675.0,675,183.59,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
750.0,750,188.88,seebeck,CHY-DEMO-B,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
300.0,300,190.16,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
375.0,375,192.7,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
450.0,450,193.22,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
525.0,525,196.91,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
600.0,600,203.2,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
675.0,675,207.51,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
750.0,750,210.25,seebeck,CHY-DEMO-C,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
300.0,300,213.62,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
375.0,375,217.52,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
450.0,450,219.86,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
525.0,525,225.96,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
600.0,600,222.93,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
675.0,675,229.63,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
750.0,750,232.88,seebeck,CHY-DEMO-D,CHY-DEMO-A,,,messy_te_temperature_series.csv,Temp / K,S (uV/K),0,,,,,,
