x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
0.0,0,0.1,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
1.0,1,0.35,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
2.0,2,0.65,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
3.0,3,1.0,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
4.0,4,1.35,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
5.0,5,1.75,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
6.0,6,2.1,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
7.0,7,2.45,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
8.0,8,2.75,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
9.0,9,3.05,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
10.0,10,3.4,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
11.0,11,3.7,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
12.0,12,4.0,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
13.0,13,4.3,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
14.0,14,4.55,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
15.0,15,4.85,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
16.0,16,5.1,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
17.0,17,5.35,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
18.0,18,5.58,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
19.0,19,5.78,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
20.0,20,5.95,qc,$\Delta T$=0 K,$\Delta T$=0 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT0_W,0,#ff0000,*,,1.4,8.0,
3.0,3,0.05,qc,$\Delta T$=5 K,$\Delta T$=5 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT5_W,1,#4fa3f7,o,,1.4,5.0,
4.0,4,0.45,qc,$\Delta T$=5 K,$\Delta T$=5 K,,,pbse_tec_qc_multicolumn.xlsx,I_A,Qc_DT5_W,1,#4fa3f7,o,,1.4,5.0,
