I,Q
0.387216098,0.056403185
0.998313675,0.261713807
1.955427104,0.690404505
3.014642407,1.054319522
4.032988579,1.455281649
5.031065743,1.809802442
6.069846481,2.192241014
7.006761855,2.546648282
8.025297235,2.873364821
9.003034438,3.209286375
9.980913548,3.489523737
10.93838174,3.779003957
11.93652986,4.105682654
13.01627433,4.413951321
13.99417709,4.684907985
15.0333126,4.928136079
16.01128631,5.171250647
16.96884911,5.423608073
18.00798462,5.666836166
18.86384761,5.826197397
19.9440178,5.96741349
