x,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
0.387216098,0.056403185,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
0.998313675,0.261713807,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
1.955427104,0.690404505,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
3.014642407,1.054319522,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
4.032988579,1.455281649,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
5.031065743,1.809802442,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
6.069846481,2.192241014,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
7.006761855,2.546648282,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
8.025297235,2.873364821,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
9.003034438,3.209286375,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
9.980913548,3.489523737,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
10.93838174,3.779003957,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
11.93652986,4.105682654,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
13.01627433,4.413951321,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
13.99417709,4.684907985,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
15.0333126,4.928136079,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
16.01128631,5.171250647,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
16.96884911,5.423608073,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
18.00798462,5.666836166,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
18.86384761,5.826197397,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
19.9440178,5.96741349,qc,1,1,,,1.csv,I,Q,0,,,,1.4,,
3.016983868,0.135530364,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
4.014966427,0.527173952,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
4.951952755,0.853739123,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
6.011144407,1.226934839,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
6.988952563,1.535014297,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
8.068578781,1.889686457,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
8.964861535,2.18833385,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
9.963104256,2.477889753,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
11.02246147,2.786120578,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
12.00036423,3.057077242,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
13.05969779,3.374588766,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
13.97655701,3.599028412,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
14.97487069,3.860742219,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
15.91199892,4.1316232,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
16.93067621,4.402655547,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
18.0107045,4.599555832,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
18.94809289,4.768349128,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
20.02814483,4.955968714,qc,2,2,,,2.csv,I,Q,1,,,,1.4,,
6.01353317,0.289584284,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
7.052550418,0.579215871,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
7.969267738,0.859339708,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
9.008119429,1.213936185,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
10.02674941,1.503529929,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
10.96380669,1.802253005,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
11.98243668,2.09184675,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
12.9807267,2.362841256,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
14.01988586,2.596788651,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
14.99778862,2.867745315,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
15.9961023,3.129459123,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
16.99458153,3.32620804,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
17.95233354,3.504319877,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
18.93042551,3.701030952,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
19.92890474,3.89777987,qc,3,3,,,3.csv,I,Q,2,,,,1.4,,
