x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
0.0,1,3516.0,value,vl,vl,,,sound vvelocity.csv,x,vl,0,,,,,,
1.0,2,3421.0,value,vl,vl,,,sound vvelocity.csv,x,vl,0,,,,,,
2.0,3,3414.0,value,vl,vl,,,sound vvelocity.csv,x,vl,0,,,,,,
3.0,4,3395.0,value,vl,vl,,,sound vvelocity.csv,x,vl,0,,,,,,
4.0,5,2352.0,value,vl,vl,,,sound vvelocity.csv,x,vl,0,,,,,,
5.0,6,3125.0,value,vl,vl,,,sound vvelocity.csv,x,vl,0,,,,,,
0.0,1,1853.0,value,vs,vs,,,sound vvelocity.csv,x,vs,1,,,,,,
1.0,2,1783.0,value,vs,vs,,,sound vvelocity.csv,x,vs,1,,,,,,
2.0,3,1702.0,value,vs,vs,,,sound vvelocity.csv,x,vs,1,,,,,,
3.0,4,1634.0,value,vs,vs,,,sound vvelocity.csv,x,vs,1,,,,,,
4.0,5,1570.0,value,vs,vs,,,sound vvelocity.csv,x,vs,1,,,,,,
5.0,6,1504.0,value,vs,vs,,,sound vvelocity.csv,x,vs,1,,,,,,
0.0,1,2072.0,value,va,va,,,sound vvelocity.csv,x,va,2,,,,,,
1.0,2,1995.0,value,va,va,,,sound vvelocity.csv,x,va,2,,,,,,
2.0,3,1909.0,value,va,va,,,sound vvelocity.csv,x,va,2,,,,,,
3.0,4,1837.0,value,va,va,,,sound vvelocity.csv,x,va,2,,,,,,
4.0,5,1765.0,value,va,va,,,sound vvelocity.csv,x,va,2,,,,,,
5.0,6,1691.0,value,va,va,,,sound vvelocity.csv,x,va,2,,,,,,
