curve_id,material,T,nH,S,PF,ZT
Ag2Se,Ag2Se,300,3.43E+18,137.1900826,23.71541502,0.618025751
Ag2Se,Ag2Se,300,3.60E+18,153.7190083,18.37944664,0.746781116
Ag2Se,Ag2Se,300,4.39E+18,147.107438,21.93675889,0.721030043
Ag2Se,Ag2Se,300,4.18E+18,137.1900826,24.90118577,0.793991416
Ag2Se,Ag2Se,300,5.83E+18,128.9256198,22.82608696,0.678111588
Ag2Se,Ag2Se,300,6.55E+18,128.9256198,22.52964427,0.600858369
Ag2Se,Ag2Se,300,7.11E+18,142.1487603,19.66403162,0.570815451
Ag2Se,Ag2Se,300,1.08E+19,97.52066116,16.50197628,0.347639485
Ag2STe,Ag2STe,300,5.2011E+18,105.785124,5.138339921,0.381974249
Ag2STe,Ag2STe,300,6.02716E+18,127.2727273,4.545454545,0.287553648
Ag2STe,Ag2STe,300,6.34575E+18,105.785124,5.335968379,0.283261803
Ag2STe,Ag2STe,300,1.50751E+19,66.11570248,4.051383399,0.154506438
Ag2STe,Ag2STe,300,1.84029E+19,59.50413223,3.853754941,0.120171674
