x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
3.43e+18,3430000000000000000,23.71541502,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
3.6e+18,3600000000000000000,18.37944664,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
4.18e+18,4180000000000000000,24.90118577,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
4.39e+18,4390000000000000000,21.93675889,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
5.2011e+18,5201100000000000000,5.138339921,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
5.83e+18,5830000000000000000,22.82608696,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
6.02716e+18,6027160000000000000,4.545454545,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
6.34575e+18,6345750000000000000,5.335968379,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
6.55e+18,6550000000000000000,22.52964427,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
7.11e+18,7110000000000000000,19.66403162,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
1.08e+19,10800000000000000000,16.50197628,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
1.50751e+19,15075100000000000000,4.051383399,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
1.84029e+19,18402900000000000000,3.853754941,power_factor,$PF$,$PF$,,,Ag2Se_series.csv,nH,PF,0,,o,,1.4,,
