x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
3.43e+18,3430000000000000000,137.1900826,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
3.6e+18,3600000000000000000,153.7190083,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
4.18e+18,4180000000000000000,137.1900826,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
4.39e+18,4390000000000000000,147.107438,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
5.2011e+18,5201100000000000000,105.785124,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
5.83e+18,5830000000000000000,128.9256198,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
6.02716e+18,6027160000000000000,127.2727273,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
6.34575e+18,6345750000000000000,105.785124,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
6.55e+18,6550000000000000000,128.9256198,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
7.11e+18,7110000000000000000,142.1487603,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
1.08e+19,10800000000000000000,97.52066116,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
1.50751e+19,15075100000000000000,66.11570248,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
1.84029e+19,18402900000000000000,59.50413223,seebeck,$S$,$S$,,,Ag2Se_series.csv,nH,S,0,,o,,1.4,,
