x,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
300.9080902,140.3964434,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
350.9510653,148.5049183,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
402.7741988,149.800706,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
450.4883079,144.2335434,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
499.3869553,135.2625503,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
548.2973309,120.3172619,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
597.2127327,102.8115612,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
648.4871586,83.61902432,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
699.74483,72.96119506,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
749.2307203,64.8486991,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
798.7249877,52.46884932,mobility,1,1,,,1.csv,x,y,0,,,,1.4,,
302.68406,435.7174332,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
349.9767951,344.7981677,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
401.3450458,277.811268,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
453.2921621,215.9502192,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
499.8853997,181.3549979,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
551.7822527,145.0980721,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
600.1388942,112.2248713,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
647.2825149,97.26450389,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
700.313643,83.20787056,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
746.2744007,70.7978628,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
799.3038534,57.59470024,mobility,2,2,,,2.csv,x,y,1,,,,1.4,,
300.5487076,623.4659223,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
349.6366801,518.0527329,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
399.3135709,412.6445698,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
450.1163595,333.7040531,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
500.3067736,266.7071007,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
550.4586526,219.3399759,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
600.5853999,184.7749126,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
649.5225825,156.174092,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
699.6359262,128.4367947,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
748.566407,103.2498572,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
798.6562946,87.46115066,mobility,3,3,,,3.csv,x,y,2,,,,1.4,,
300.0586405,573.1061209,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
349.7589875,455.7493671,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
403.5113939,374.2735697,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
450.773971,298.7167781,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
498.6020102,235.1136034,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
549.3327547,192.8723296,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
600.6256105,164.2916142,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
650.7423051,134.8473755,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
701.4160846,121.6241076,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
750.9338083,97.29566714,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
801.0236958,81.50696063,mobility,4,4,,,4.csv,x,y,3,,,,1.4,,
300.3635712,417.7744418,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
351.1546317,344.8082204,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
401.922236,283.7905897,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
450.352597,213.3646753,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
500.474318,181.3600243,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
552.3661447,147.6635107,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
603.0767839,115.663886,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
650.8126737,99.0016034,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
700.313643,83.20787056,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
750.9924488,67.42419038,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
799.8944471,56.7462558,mobility,5,5,,,5.csv,x,y,4,,,,1.4,,
