x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
301.198301,301.198301,1481.481481,conductivity,1,1,,,1.csv,T,C,0,,,,1.4,,
324.2854512,324.2854512,1264.197531,conductivity,1,1,,,1.csv,T,C,0,,,,1.4,,
374.648625,374.648625,817.7777778000001,conductivity,1,1,,,1.csv,T,C,0,,,,1.4,,
424.3159555,424.3159555,592.5925926,conductivity,1,1,,,1.csv,T,C,0,,,,1.4,,
473.2874426,473.2874426,387.1604938,conductivity,1,1,,,1.csv,T,C,0,,,,1.4,,
523.6713363,523.6713363,276.5432099,conductivity,1,1,,,1.csv,T,C,0,,,,1.4,,
574.0431434,574.0431434,177.7777778,conductivity,1,1,,,1.csv,T,C,0,,,,1.4,,
301.2293808,301.2293808,849.382716,conductivity,2,2,,,2.csv,T,C,1,,,,1.4,,
324.316531,324.316531,711.1111111,conductivity,2,2,,,2.csv,T,C,1,,,,1.4,,
373.9907681,373.9907681,466.1728395,conductivity,2,2,,,2.csv,T,C,1,,,,1.4,,
424.3591219,424.3591219,300.2469136,conductivity,2,2,,,2.csv,T,C,1,,,,1.4,,
475.4302257,475.4302257,205.43209879999998,conductivity,2,2,,,2.csv,T,C,1,,,,1.4,,
525.0958295,525.0958295,138.2716049,conductivity,2,2,,,2.csv,T,C,1,,,,1.4,,
575.4590034,575.4590034,102.71604939999999,conductivity,2,2,,,2.csv,T,C,1,,,,1.4,,
301.9286775,301.9286775,750.617284,conductivity,3,3,,,3.csv,T,C,2,,,,1.4,,
323.618961,323.618961,632.0987653999999,conductivity,3,3,,,3.csv,T,C,2,,,,1.4,,
374.6952448,374.6952448,399.0123457,conductivity,3,3,,,3.csv,T,C,2,,,,1.4,,
424.3694819,424.3694819,284.4444444,conductivity,3,3,,,3.csv,T,C,2,,,,1.4,,
474.043719,474.043719,173.8271605,conductivity,3,3,,,3.csv,T,C,2,,,,1.4,,
524.4068928,524.4068928,126.4197531,conductivity,3,3,,,3.csv,T,C,2,,,,1.4,,
574.7717933,574.7717933,86.91358025,conductivity,3,3,,,3.csv,T,C,2,,,,1.4,,
300.8840491,300.8840491,987.6543210000001,conductivity,4,4,,,4.csv,T,C,3,,,,1.4,,
323.9504794,323.9504794,873.0864198,conductivity,4,4,,,4.csv,T,C,3,,,,1.4,,
374.2808468,374.2808468,620.2469136,conductivity,4,4,,,4.csv,T,C,3,,,,1.4,,
423.9153707,423.9153707,474.0740741,conductivity,4,4,,,4.csv,T,C,3,,,,1.4,,
473.5464414,473.5464414,335.8024691,conductivity,4,4,,,4.csv,T,C,3,,,,1.4,,
523.8837153,523.8837153,264.691358,conductivity,4,4,,,4.csv,T,C,3,,,,1.4,,
573.5165126,573.5165126,197.5308642,conductivity,4,4,,,4.csv,T,C,3,,,,1.4,,
300.1795725,300.1795725,801.975309,conductivity,5,5,,,5.csv,T,C,4,,,,1.4,,
322.5449795,322.5449795,687.4074069999999,conductivity,5,5,,,5.csv,T,C,4,,,,1.4,,
373.5746434,373.5746434,466.17284,conductivity,5,5,,,5.csv,T,C,4,,,,1.4,,
423.9050108,423.9050108,347.654321,conductivity,5,5,,,5.csv,T,C,4,,,,1.4,,
473.5326281,473.5326281,252.839506,conductivity,5,5,,,5.csv,T,C,4,,,,1.4,,
523.1654254,523.1654254,201.481481,conductivity,5,5,,,5.csv,T,C,4,,,,1.4,,
573.5026993,573.5026993,150.123457,conductivity,5,5,,,5.csv,T,C,4,,,,1.4,,
