x,x_category,y,property,group,legend_label,label,condition,source,x_source_column,y_source_column,series_order,color,marker,linestyle,line_width,marker_size,alpha
301.198301,301.198301,168.69699999999997,seebeck,1,1,,,1.csv,T,S,0,,,,1.4,,
324.2854512,324.2854512,180.397,seebeck,1,1,,,1.csv,T,S,0,,,,1.4,,
374.648625,374.648625,195.868,seebeck,1,1,,,1.csv,T,S,0,,,,1.4,,
424.3159555,424.3159555,215.29399999999998,seebeck,1,1,,,1.csv,T,S,0,,,,1.4,,
473.2874426,473.2874426,238.67499999999998,seebeck,1,1,,,1.csv,T,S,0,,,,1.4,,
523.6713363,523.6713363,277.849,seebeck,1,1,,,1.csv,T,S,0,,,,1.4,,
574.0431434,574.0431434,303.197,seebeck,1,1,,,1.csv,T,S,0,,,,1.4,,
301.2293808,301.2293808,204.252,seebeck,2,2,,,2.csv,T,S,1,,,,1.4,,
324.316531,324.316531,215.952,seebeck,2,2,,,2.csv,T,S,1,,,,1.4,,
373.9907681,373.9907681,243.279,seebeck,2,2,,,2.csv,T,S,1,,,,1.4,,
424.3591219,424.3591219,264.676,seebeck,2,2,,,2.csv,T,S,1,,,,1.4,,
475.4302257,475.4302257,290.01899999999995,seebeck,2,2,,,2.csv,T,S,1,,,,1.4,,
525.0958295,525.0958295,307.47,seebeck,2,2,,,2.csv,T,S,1,,,,1.4,,
575.4590034,575.4590034,322.94,seebeck,2,2,,,2.csv,T,S,1,,,,1.4,,
301.9286775,301.9286775,204.248,seebeck,3,3,,,3.csv,T,S,2,,,,1.4,,
323.618961,323.618961,217.932,seebeck,3,3,,,3.csv,T,S,2,,,,1.4,,
374.6952448,374.6952448,249.201,seebeck,3,3,,,3.csv,T,S,2,,,,1.4,,
424.3694819,424.3694819,276.528,seebeck,3,3,,,3.csv,T,S,2,,,,1.4,,
474.043719,474.043719,303.855,seebeck,3,3,,,3.csv,T,S,2,,,,1.4,,
524.4068928,524.4068928,319.32599999999996,seebeck,3,3,,,3.csv,T,S,2,,,,1.4,,
574.7717933,574.7717933,336.772,seebeck,3,3,,,3.csv,T,S,2,,,,1.4,,
300.8840491,300.8840491,-190.80700000000002,seebeck,4,4,,,4.csv,T,S,3,,,,1.4,,
323.9504794,323.9504794,-202.811,seebeck,4,4,,,4.csv,T,S,3,,,,1.4,,
374.2808468,374.2808468,-224.871,seebeck,4,4,,,4.csv,T,S,3,,,,1.4,,
423.9153707,423.9153707,-242.97500000000002,seebeck,4,4,,,4.csv,T,S,3,,,,1.4,,
473.5464414,473.5464414,-265.031,seebeck,4,4,,,4.csv,T,S,3,,,,1.4,,
523.8837153,523.8837153,-279.189,seebeck,4,4,,,4.csv,T,S,3,,,,1.4,,
573.5165126,573.5165126,-299.269,seebeck,4,4,,,4.csv,T,S,3,,,,1.4,,
300.1795725,300.1795725,-196.729,seebeck,5,5,,,5.csv,T,S,4,,,,1.4,,
322.5449795,322.5449795,-210.703,seebeck,5,5,,,5.csv,T,S,4,,,,1.4,,
373.5746434,373.5746434,-232.767,seebeck,5,5,,,5.csv,T,S,4,,,,1.4,,
423.9050108,423.9050108,-254.827,seebeck,5,5,,,5.csv,T,S,4,,,,1.4,,
473.5326281,473.5326281,-280.833,seebeck,5,5,,,5.csv,T,S,4,,,,1.4,,
523.1654254,523.1654254,-300.913,seebeck,5,5,,,5.csv,T,S,4,,,,1.4,,
573.5026993,573.5026993,-315.07099999999997,seebeck,5,5,,,5.csv,T,S,4,,,,1.4,,
