label,two_theta_deg,intensity,d_angstrom,h,k,l
CuInTe2 PDF#97-023-8958,15.987,0.7,5.5393,1,0,1
CuInTe2 PDF#97-023-8958,24.875,100.0,3.5766,1,1,2
CuInTe2 PDF#97-023-8958,25.888,3.4,3.4388,1,0,3
CuInTe2 PDF#97-023-8958,28.760,0.9,3.1016,0,0,4
CuInTe2 PDF#97-023-8958,28.820,1.5,3.0953,2,0,0
CuInTe2 PDF#97-023-8958,32.296,0.5,2.7696,2,0,2
CuInTe2 PDF#97-023-8958,33.127,5.4,2.7021,2,1,1
CuInTe2 PDF#97-023-8958,39.078,1.2,2.3032,1,0,5
CuInTe2 PDF#97-023-8958,39.124,1.3,2.3006,2,1,3
CuInTe2 PDF#97-023-8958,41.168,48.9,2.1909,2,0,4
CuInTe2 PDF#97-023-8958,41.212,23.5,2.1887,2,2,0
CuInTe2 PDF#97-023-8958,44.471,2.2,2.0356,3,0,1
CuInTe2 PDF#97-023-8958,46.343,0.5,1.9576,3,1,0
CuInTe2 PDF#97-023-8958,48.661,15.3,1.8697,1,1,6
CuInTe2 PDF#97-023-8958,48.738,28.2,1.8669,3,1,2
CuInTe2 PDF#97-023-8958,49.275,0.7,1.8478,2,1,5
CuInTe2 PDF#97-023-8958,49.313,0.1,1.8464,3,0,3
CuInTe2 PDF#97-023-8958,51.030,0.5,1.7883,2,2,4
CuInTe2 PDF#97-023-8958,53.231,0.5,1.7194,2,0,6
CuInTe2 PDF#97-023-8958,53.754,0.1,1.7039,1,0,7
CuInTe2 PDF#97-023-8958,53.862,0.5,1.7008,3,2,1
CuInTe2 PDF#97-023-8958,55.460,0.5,1.6555,3,1,4
CuInTe2 PDF#97-023-8958,58.092,0.5,1.5866,3,0,5
CuInTe2 PDF#97-023-8958,58.126,2.3,1.5857,3,2,3
CuInTe2 PDF#97-023-8958,59.564,3.9,1.5508,0,0,8
CuInTe2 PDF#97-023-8958,59.698,6.8,1.5477,4,0,0
CuInTe2 PDF#97-023-8958,61.724,0.1,1.5016,4,0,2
CuInTe2 PDF#97-023-8958,62.135,0.9,1.4927,2,1,7
CuInTe2 PDF#97-023-8958,62.233,1.0,1.4906,4,1,1
CuInTe2 PDF#97-023-8958,65.620,10.7,1.4216,3,1,6
CuInTe2 PDF#97-023-8958,65.683,4.9,1.4204,3,3,2
CuInTe2 PDF#97-023-8958,66.128,1.5,1.4119,3,2,5
CuInTe2 PDF#97-023-8958,66.159,1.3,1.4113,4,1,3
CuInTe2 PDF#97-023-8958,67.498,0.3,1.3865,2,0,8
CuInTe2 PDF#97-023-8958,67.592,0.2,1.3848,4,0,4
CuInTe2 PDF#97-023-8958,67.624,0.1,1.3843,4,2,0
CuInTe2 PDF#97-023-8958,69.522,0.1,1.3510,4,2,2
CuInTe2 PDF#97-023-8958,69.846,0.5,1.3455,1,0,9
CuInTe2 PDF#97-023-8958,69.908,0.6,1.3445,3,0,7
