two_theta_deg,d_angstrom,intensity,intensity_text,h,k,l,theta_deg,inv_2d,two_pi_over_d
15.987,5.5393,0.7,0.7,1,0,1,7.993,0.0903,1.1343
24.875,3.5766,100.0,100.0,1,1,2,12.437,0.1398,1.7568
25.888,3.4388,3.4,3.4,1,0,3,12.944,0.1454,1.8272
28.76,3.1016,0.9,0.9,0,0,4,14.38,0.1612,2.0258
28.82,3.0953,1.5,1.5,2,0,0,14.41,0.1615,2.0299
32.296,2.7696,0.5,<1,2,0,2,16.148,0.1805,2.2686
33.127,2.7021,5.4,5.4,2,1,1,16.563,0.185,2.3253
39.078,2.3032,1.2,1.2,1,0,5,19.539,0.2171,2.728
39.124,2.3006,1.3,1.3,2,1,3,19.562,0.2173,2.7311
41.168,2.1909,48.9,48.9,2,0,4,20.584,0.2282,2.8678
41.212,2.1887,23.5,23.5,2,2,0,20.606,0.2284,2.8707
44.471,2.0356,2.2,2.2,3,0,1,22.236,0.2456,3.0867
46.343,1.9576,0.5,<1,3,1,0,23.171,0.2554,3.2096
48.661,1.8697,15.3,15.3,1,1,6,24.33,0.2674,3.3606
48.738,1.8669,28.2,28.2,3,1,2,24.369,0.2678,3.3656
49.275,1.8478,0.7,0.7,2,1,5,24.638,0.2706,3.4004
49.313,1.8464,0.1,0.1,3,0,3,24.657,0.2708,3.4029
51.03,1.7883,0.5,0.5,2,2,4,25.515,0.2796,3.5135
53.231,1.7194,0.5,<1,2,0,6,26.616,0.2908,3.6543
53.754,1.7039,0.1,0.1,1,0,7,26.877,0.2934,3.6875
53.862,1.7008,0.5,0.5,3,2,1,26.931,0.294,3.6944
55.46,1.6555,0.5,<1,3,1,4,27.73,0.302,3.7954
58.092,1.5866,0.5,<1,3,0,5,29.046,0.3151,3.9602
58.126,1.5857,2.3,2.3,3,2,3,29.063,0.3153,3.9623
59.564,1.5508,3.9,3.9,0,0,8,29.782,0.3224,4.0515
59.698,1.5477,6.8,6.8,4,0,0,29.849,0.3231,4.0598
61.724,1.5016,0.1,0.1,4,0,2,30.862,0.333,4.1843
62.135,1.4927,0.9,0.9,2,1,7,31.067,0.335,4.2093
62.233,1.4906,1.0,1.0,4,1,1,31.117,0.3354,4.2153
65.62,1.4216,10.7,10.7,3,1,6,32.81,0.3517,4.4198
65.683,1.4204,4.9,4.9,3,3,2,32.842,0.352,4.4236
66.128,1.4119,1.5,1.5,3,2,5,33.064,0.3541,4.4502
66.159,1.4113,1.3,1.3,4,1,3,33.08,0.3543,4.452
67.498,1.3865,0.3,0.3,2,0,8,33.749,0.3606,4.5316
67.592,1.3848,0.2,0.2,4,0,4,33.796,0.3611,4.5372
67.624,1.3843,0.1,0.1,4,2,0,33.812,0.3612,4.539
69.522,1.351,0.1,0.1,4,2,2,34.761,0.3701,4.6507
69.846,1.3455,0.5,<1,1,0,9,34.923,0.3716,4.6696
69.908,1.3445,0.6,0.6,3,0,7,34.954,0.3719,4.6732
