two_theta_deg,d_angstrom,intensity,intensity_text,h,k,l,theta_deg,inv_2d,two_pi_over_d
8.637,10.23,4.7,4.7,0,0,3,4.318,0.0489,0.6142
17.323,5.115,3.7,3.7,0,0,6,8.661,0.0978,1.2284
24.516,3.6281,0.1,0.1,1,0,1,12.258,0.1378,1.7318
25.032,3.5544,0.4,0.4,0,1,2,12.516,0.1407,1.7677
26.111,3.41,2.0,2.0,0,0,9,13.055,0.1466,1.8426
27.007,3.2988,1.7,1.7,1,0,4,13.504,0.1516,1.9047
28.405,3.1396,100.0,100.0,0,1,5,14.202,0.1593,2.0013
31.857,2.8068,1.4,1.4,1,0,7,15.928,0.1781,2.2385
33.853,2.6458,5.4,5.4,0,1,8,16.926,0.189,2.3748
35.058,2.5575,0.4,0.4,0,0,12,17.529,0.1955,2.4568
38.269,2.35,34.3,34.3,1,0,10,19.134,0.2128,2.6737
40.654,2.2174,3.8,3.8,0,1,11,20.327,0.2255,2.8335
42.834,2.1095,34.4,34.4,1,1,0,21.417,0.237,2.9785
43.781,2.066,0.5,0.5,1,1,3,21.891,0.242,3.0412
44.233,2.046,4.8,4.8,0,0,15,22.116,0.2444,3.071
45.719,1.9829,6.8,6.8,1,0,13,22.859,0.2522,3.1687
46.531,1.9502,1.6,1.6,1,1,6,23.265,0.2564,3.2219
48.382,1.8798,1.3,1.3,0,1,14,24.191,0.266,3.3425
49.971,1.8237,0.5,<1,0,2,1,24.986,0.2742,3.4454
50.253,1.8141,0.1,0.1,2,0,2,25.127,0.2756,3.4636
50.856,1.794,1.8,1.8,1,1,9,25.428,0.2787,3.5024
51.371,1.7772,0.3,0.3,0,2,4,25.686,0.2813,3.5354
52.198,1.751,17.2,17.2,2,0,5,26.099,0.2856,3.5884
53.717,1.705,2.7,2.7,0,0,18,26.858,0.2933,3.6852
53.945,1.6983,2.6,2.6,1,0,16,26.972,0.2944,3.6996
54.36,1.6863,0.3,0.3,0,2,7,27.18,0.2965,3.7259
55.681,1.6494,1.2,1.2,2,0,8,27.841,0.3031,3.8094
56.503,1.6274,0.5,0.5,1,1,12,28.251,0.3072,3.861
56.84,1.6185,0.1,0.1,0,1,17,28.42,0.3089,3.8821
58.772,1.5698,9.2,9.2,0,2,10,29.386,0.3185,4.0025
60.529,1.5284,1.1,1.1,2,0,11,30.265,0.3271,4.111
62.853,1.4773,0.4,0.4,1,0,19,31.427,0.3384,4.253
63.267,1.4687,9.3,9.3,1,1,15,31.633,0.3404,4.2781
63.617,1.4614,0.6,0.6,0,0,21,31.809,0.3421,4.2993
64.437,1.4448,2.3,2.3,0,2,13,32.219,0.3461,4.3488
65.975,1.4148,2.1,2.1,0,1,20,32.988,0.3534,4.4411
66.579,1.4034,0.5,0.5,2,0,14,33.289,0.3563,4.477
67.883,1.3796,0.5,<1,2,1,1,33.942,0.3624,4.5544
68.117,1.3754,0.1,0.1,1,2,2,34.058,0.3635,4.5681
69.047,1.3592,0.2,0.2,2,1,4,34.524,0.3679,4.6229
69.741,1.3473,13.6,13.6,1,2,5,34.871,0.3711,4.6635
